...1,Unnamed: 0,restaurantname,restauranttype,numofratings,avgCost,online_order,tablebooking,cuisinestype,area,localaddress,rate
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
231,231,Alibi - Maya International Hotel,Casual Dining,0.014911401,0.233870968,0,0,"North Indian, Continental, Chinese",Brigade Road,Church Street,Bad
708,708,Bhagini,Casual Dining,0.017251755,0.153225806,0,0,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli,Bad
2296,2296,Fusion Lounge,Lounge,0.026345704,0.294354839,0,0,Finger Food,Brigade Road,Brigade Road,Bad
